DRI Number,Project Name,Water Usage,County,Initial Info Form Submision Date,Cleaned Water Usage Data,Water Discharge Data,Cleaned Water Discharge Data,Contains 'data center'?,Current Status,Data Center?
4497,South Greensboro,0.09792 mgd,Greene,6/13/2025,0.09792,0.09792 mgd,0.09792,0,Additional Form Submitted,TBD
4496,JP Travel Center Social Circle,0.033 mgd,Walton,6/12/2025,0.033,0.033 mgd,0.033,0,Certified Complete,TBD
4494,North Oconee Industrial Park,0.095,Hall,6/9/2025,0.095,0.095,0.095,0,Request for Comments Made,TBD
4493,North Oconee Industrial Park,No water data,Hall,6/9/2025,No water data,No water data,No water data,0,Withdrawn,TBD
4492,North Oconee Industrial Park,No water data,Hall,6/9/2025,No water data,No water data,No water data,0,Withdrawn,TBD
4491,East Hiawatha PUD,0.075 mgd,Candler,6/9/2025,0.075,0.075 mgd,0.075,0,Request for Comments Made,TBD
4489,New Cold Storage Facility for PermaCold Logistics,0.0432 mgd,McIntosh,6/4/2025,0.0432,0.0432 mgd,0.0432,0,DRI Determination Made,TBD
4488,New Cold Storage Facility for PermaCold Logistics,No water data,McIntosh,6/4/2025,No water data,No water data,No water data,0,Completed,TBD
4487,SRM Concrete Ready Mix Plant,No water data,Henry,6/5/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4486,Grand Etowah - Bartow,1 million mgd at buildout,Bartow,6/3/2025,1 million,1 mgd at buildout,1,0,Certified Complete,TBD
4485,Blue Heron Development,0.040,Chatham,6/2/2025,0.040,0.040,0.040,0,DRI Determination Made,TBD
4483,Town Center at Mansa Park,No water data,Fulton,5/30/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4482,ATL 15 and 16,No water data,Clayton,5/30/2025,No water data,No water data,No water data,1,DRI Determination Made,TBD
4481,The Covey at the Woodlands,.155 mgpd,Thomas,5/23/2025,.155,.204120mgpd,.204120mgpd,0,Additional Form Submitted,TBD
4478,Creekside Village - Mixed-Use Development,No water data,DeKalb,6/10/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4476,Providence Point,"0.2 mgd (193,200 gallons per day)",Jackson,5/14/2025,0.2,"0.2 mgd (180,000 gallons per day)",0.2,0,Completed,TBD
4474,Love's Travel Stop Parking Addition,0.0006 mgd,Bibb,5/13/2025,0.0006,0.0018 mgd,0.0018,0,Completed,TBD
4473,RaceTrac Jimmy Deloach Parkway,0.003214mgd,Chatham,5/13/2025,0.003214mgd,0.003214 mgd,0.003214,0,Certified Complete,TBD
4470,Reynolds Renaissance,0.075 mgd,Greene,5/16/2025,0.075,0.040 mgd,0.040,0,Completed,TBD
4468,Outrigger Wade Orr Road,0.0143 mgd,Hall,5/14/2025,0.0143,0.0130 mgd,0.0130,0,Request for Comments Made,TBD
4467,Ga. Hwy. 122 Project,0.064,Thomas,5/22/2025,0.064,0.056,0.056,0,Additional Form Submitted,TBD
4465,T5 ATL IV,No water data,Fulton,5/5/2025,No water data,No water data,No water data,1,DRI Determination Made,TBD
4464,4300 Pleasantdale Road Redevelopment,No water data,Gwinnett,5/2/2025,No water data,No water data,No water data,0,DRI Determination Made,TBD
4463,Fueling Center expansion with truck parking,0.001 mgd,Bibb,4/23/2025,0.001,0.001 mgd,0.001,0,Completed,TBD
4462,VALIANT TRADERS,0.0155 mgpd,Lamar,4/23/2025,0.0155,0.0155 mgpd,0.0155,0,Completed,TBD
4461,"5401 Old Winder Highway, Braselton, GA 30517 - Industrial",0.028,Hall,5/2/2025,0.028,0.023 gpd (.02225 mgd),0.023 gpd (.02225,0,Completed,TBD
