DRI Number,Project info,Current Status
4467,"[['Name of Proposed Project:', 'Ga. Hwy. 122 Project'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Ga. Hwy. 122 (Map 045, Parcels 062, 062D, and 062G'], ['Brief Description of Project:', 'Rezone these parcels to PUD (Planned Unit Development) to allow for the development of approximately 159 single family homes and approximately 36 condos.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Initial Form Submitted
4470,"[['Name of Proposed Project:', 'Reynolds Renaissance'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Lake Oconee Parkway Map & Parcel # 0520000220'], ['Brief Description of Project:', 'The project consists of repurposing 85 acres comprising approximately 1,736 feet of frontage on GA-44 through a rezoning and annexation within the City of Greensboro.  The subject site abuts the present City boundary across GA-44.  The site is rectangular in nature and is void of any material natural areas of concern except for a small portion of the Richland Creek floodplain.'], ['Name of Proposed Project:', 'Reynolds Renaissance'], ['DRI ID Number:', '4470'], ['Developer/Applicant:', 'D J Greenway LLC'], ['Telephone:', '416-371-4230'], ['Email(s):', 'johnv@nxtdevelopment.ca'], ['Estimated Value at Build-Out:', '300,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '1,742,040.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Greensboro'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.075 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Greensboro'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.040 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Certified Complete
4476,"[['Name of Proposed Project:', 'Providence Point'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Ila Road; Parcels 010 002 & 010 046; GA Highway 98'], ['Brief Description of Project:', 'Tax Parcels # 010 002 & 010 046 is currently owned by Beaver Creek 463 LLC. Zoned R3 (2 family residential) and the jurisdiction has received an application to change the 161.8 acre property to a Planned Unit Development. Wanting a mixed use development containing 450 single family residential units, with shared amenities and a 2.83 acre commercial component. The residential portion is proposed to be all single family residential homes.'], ['Name of Proposed Project:', 'Providence Point'], ['DRI ID Number:', '4476'], ['Developer/Applicant:', 'NVR, Inc'], ['Telephone:', '404-556-7544'], ['Email(s):', 'jesclark@nvrinc.com'], ['Estimated Value at Build-Out:', '$135,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$135,304'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Commerce'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2 MGD (193,200 gallons per day)'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Commerce'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2 MGD (180,000 gallons per day)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Certified Complete
4468,"[['Name of Proposed Project:', 'Outrigger Wade Orr Road'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '(34.1625538,-83.929232)'], ['Brief Description of Project:', 'The project will consist of building two rear load industrial warehouse distribution facilities. One of the proposed buildings will be 226,800 sf and the other will be 346,410 sf. The site will be accessed from Wade Orr Road.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Initial Form Submitted
4474,"[['Name of Proposed Project:', ""Love's Travel Stop Parking Addition""], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '5189 SARDIS CHURCH RD'], ['Brief Description of Project:', 'The parking expansion project includes the addition of 47 commercial truck parking\r\nspaces and 12 recreational vehicle parking spaces across 3 separate parcels of land; 5189, 5211 Sardis Church Rd and a portion of 5251 Sardis Church Rd.'], ['Name of Proposed Project:', ""Love's Travel Stop Parking Addition""], ['DRI ID Number:', '4474'], ['Developer/Applicant:', ""Love's Travel Stops & Country Stores, Inc.""], ['Telephone:', '405-749-1744'], ['Email(s):', 'construction_utilities_permits@loves.com'], ['Estimated Value at Build-Out:', '1,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '10,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0006 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0018 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Request for Comments Made
4473,"[['Name of Proposed Project:', 'RaceTrac Jimmy Deloach Parkway'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '110 Crossroads Pkwy, Savannah, GA 31407   (32.162472, -81.211887)'], ['Brief Description of Project:', 'Racetrac is proposing to construct a +/- 8,100 SF convenient store gas station with associated gasoline and diesel pumps'], ['Name of Proposed Project:', 'RaceTrac Jimmy Deloach Parkway'], ['DRI ID Number:', '4473'], ['Developer/Applicant:', 'Racetrac'], ['Telephone:', '512-417-3222'], ['Email(s):', 'nfuss@bohlereng.com'], ['Estimated Value at Build-Out:', '$2,500,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$160,000/yr'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Savannah'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.003214MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Savannah'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.003214 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",DRI Determination Made
4465,"[['Name of Proposed Project:', 'T5 ATL IV'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Gullatt Road, Fairburn Georgia'], ['Brief Description of Project:', 'T5 ATL IV is a proposed industrial development. The project consists of three proposed data center buildings totaling up to 1,320,000 square feet, along with associated infrastructure, access, parking, utilities, and stormwater management.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4461,"[['Name of Proposed Project:', '5401 Old Winder Highway, Braselton, GA 30517 - Industrial'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '5401 Old Winder Highway, Braselton, GA'], ['Brief Description of Project:', 'The intent is to develop approximately 1,719,640 SF of Light-Industrial warehouse space on 194.108+/- acres. Approximately 6300 linear feet of new roadway/ parkway will be constructed to service this development.'], ['Name of Proposed Project:', '5401 Old Winder Highway, Braselton, GA 30517 - Industrial'], ['DRI ID Number:', '4461'], ['Developer/Applicant:', 'K@P Land Partners, LLC'], ['Telephone:', '404-863-8195'], ['Email(s):', 'mphelps@bfhcompany.com'], ['Estimated Value at Build-Out:', '$175,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$175,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Gainesville'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.028'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Hall County Sanitary Sewer Service'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.023 GPD (.02225 MGD)'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Additional Form Submitted
4460,"[['Name of Proposed Project:', '5401 Old Winder Highway, Braselton, GA 30517 - Residential'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '5401 Old Winder Highway, Braselton, GA 30517'], ['Brief Description of Project:', 'The intent is to develop apartments (Maximum amount of units: 320) and a mixture of Stacked Flats and townhomes (Maximum amount of units: 380)'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Initial Form Submitted
4464,"[['Name of Proposed Project:', '4300 Pleasantdale Road Redevelopment'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '4300 Pleasantdale Rd, Atlanta, GA 30340'], ['Brief Description of Project:', 'Demolition of existing +/-865,900 square foot cold storage warehouse facility, redevelopment, and construction of new +/-650,000 light industrial/warehousing space.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",DRI Determination Made
4448,"[['Name of Proposed Project:', 'Project Gracie'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '34.26683, -85.29861'], ['Brief Description of Project:', 'State of the art Data Center Project comprised of 7 buildings totaling 2,395,000 Sq Ft.'], ['Name of Proposed Project:', 'Project Gracie'], ['DRI ID Number:', '4448'], ['Developer/Applicant:', 'Atlas Development, LLC'], ['Telephone:', '7703871373'], ['Email(s):', 'bbowen@jbwpc.com'], ['Estimated Value at Build-Out:', '4,743,375,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '54,285,080'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Floyd County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '5.0 at full buildout'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Rome'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '1.65 at full buildout'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Request for Comments Made
4352,"[['Name of Proposed Project:', 'Serenbe'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Fulton County District 8, Landlots 45, 46, 51, 52, 76, 77, and 83; Coweta County District 8, Landlot'], ['Brief Description of Project:', 'a mixed-use development with 1,700 residential units along with supporting office, restaurant, retail, institutional, and service uses on an approximately 1532- acre currently mostly forested site generally located southeast of the intersection of Hutcheson Ferry Road and Atlanta Newnan Road all within the City of Chattahoochee Hills with part of the site in Fulton County and the remainder in Coweta County.'], ['Name of Proposed Project:', 'Serenbe'], ['DRI ID Number:', '4352'], ['Developer/Applicant:', 'Serenbe CH Properties, LLC'], ['Telephone:', '770-463-2609'], ['Email(s):', 'mattcollins@serenbe.com'], ['Estimated Value at Build-Out:', '1,700,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '21,650,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Atlanta'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.35 MGD ~ 12.8 MGY'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Fulton County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.35 MGD ~ 12.8 MGY'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",DRI Determination Made
4463,"[['Name of Proposed Project:', 'Fueling Center expansion with truck parking'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '4845 Ocmulgee East Blvd Macon, Ga 31217'], ['Brief Description of Project:', 'Proposed building expansion, removal and replacement of the existing fuel canopy. Tractor trailer parking for 68 with a new diesel canopy with 6 pumps.'], ['Name of Proposed Project:', 'Fueling Center expansion with truck parking'], ['DRI ID Number:', '4463'], ['Developer/Applicant:', '2M Forsyth, Inc'], ['Telephone:', '478-550-2479'], ['Email(s):', 'pigglywiggly013@gmail.com'], ['Estimated Value at Build-Out:', 'Estimated 1,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Estimated 20,000 per year'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Macon Water Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.001 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Macon Water Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.001 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4462,"[['Name of Proposed Project:', 'VALIANT TRADERS'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '677 HIGH FALLS ROAD, JACKSON GA 30233'], ['Brief Description of Project:', 'WAREHOUSE FOR STORAGE AND DISMANTLE OF PASSENGER VEHICLES, TIRE BALING'], ['Name of Proposed Project:', 'VALIANT TRADERS'], ['DRI ID Number:', '4462'], ['Developer/Applicant:', 'VALIANT TRADERS'], ['Telephone:', '404-838-3330'], ['Email(s):', 'FWK21@HOTMAIL.COM'], ['Estimated Value at Build-Out:', '$2,000,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$20,750'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'CITY OF BARNESVILLE'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0155 MGPD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'SEPTIC'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.0155 MGPD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4459,"[['Name of Proposed Project:', 'BPG Logistics Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Lat: 34,405084. Long: -84.923732\r\nEast of SR 3/US 41, North of Trimble Hollow Road and West of I-75'], ['Brief Description of Project:', 'New 1,149,320 square foot industrial development.  First phase completion in 2027 - beginning with primary infrastructure and building B.'], ['Name of Proposed Project:', 'BPG Logistics Park'], ['DRI ID Number:', '4459'], ['Developer/Applicant:', 'BlueScope Properties Group'], ['Telephone:', '913-219-8772'], ['Email(s):', 'Steven.godlewski@bluescopeproperties.com'], ['Estimated Value at Build-Out:', 'Building B: $40 Million: Entire Park: $90 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', 'Building B: $406,500: Entire Park: $914,620'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Calhoun'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.10 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Calhoun'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.08 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
4458,"[['Name of Proposed Project:', 'High Falls Logistics Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Spalding County Tax Parcel Identification Numbers: 218 02004; 218 02001A; 218 02001B; (portion of) 2'], ['Brief Description of Project:', 'E-Commerce Logistics Center / Warehouse / Distribution'], ['Name of Proposed Project:', 'High Falls Logistics Park'], ['DRI ID Number:', '4458'], ['Developer/Applicant:', 'High Falls 16, LLC'], ['Telephone:', '404-557-4892'], ['Email(s):', 'doug@havenwoodholdings.com'], ['Estimated Value at Build-Out:', '$345,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$4,942,056.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Spalding County Water and Sewerage Facilities Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.050'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Spalding County Water and Sewerage Facilities Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.050'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Completed
