DRI Number,Project Name,Current Status,Contains 'data center'?,Water Usage,Data Center?,Cleaned Water Usage Data
4486,Grand Etowah - Bartow,Certified Complete,0,1 million mgd at buildout,TBD,1 million
4485,Blue Heron Development,Additional Form Submitted,0,0.040,TBD,0.040
4483,Town Center at Mansa Park,Initial Form Submitted,0,No water data,TBD,No water data
4482,ATL 15 and 16,Initial Form Submitted,1,No water data,TBD,No water data
4481,The Covey at the Woodlands,Additional Form Submitted,0,.155 mgpd,TBD,.155
4476,Providence Point,Request for Comments Made,0,"0.2 mgd (193,200 gallons per day)",TBD,0.2
4474,Love's Travel Stop Parking Addition,Request for Comments Made,0,0.0006 mgd,TBD,0.0006
4473,RaceTrac Jimmy Deloach Parkway,DRI Determination Made,0,0.003214mgd,TBD,0.003214mgd
4470,Reynolds Renaissance,Request for Comments Made,0,0.075 mgd,TBD,0.075
4468,Outrigger Wade Orr Road,Additional Form Submitted,0,0.0143 mgd,TBD,0.0143
4467,Ga. Hwy. 122 Project,Additional Form Submitted,0,0.064,TBD,0.064
4465,T5 ATL IV,DRI Determination Made,1,No water data,TBD,No water data
4464,4300 Pleasantdale Road Redevelopment,DRI Determination Made,0,No water data,TBD,No water data
4463,Fueling Center expansion with truck parking,Completed,0,0.001 mgd,TBD,0.001
4462,VALIANT TRADERS,Completed,0,0.0155 mgpd,TBD,0.0155
4461,"5401 Old Winder Highway, Braselton, GA 30517 - Industrial",Additional Form Submitted,0,0.028,TBD,0.028
4460,"5401 Old Winder Highway, Braselton, GA 30517 - Residential",Initial Form Submitted,0,No water data,TBD,No water data
4459,BPG Logistics Park,Completed,0,0.10 mgd,TBD,0.10
4458,High Falls Logistics Park,Completed,0,0.050,TBD,0.050
4457,Macon Park N Store 5 LLC,Completed,0,"less than 1,000 gallons per month",TBD,"less than 1,000 gallons per month"
4456,Project Rockforge,DRI Determination Made,0,No water data,TBD,No water data
4454,Thomas Concrete,Completed,0,0.013 mgd,TBD,0.013
4453,Transfer Station - ABC Waste,Completed,0,100 gpd (0.0001 mgd),TBD,100 gpd (0.0001
4451,Avemore,Completed,0,tbd,TBD,tbd
4448,Project Gracie,Completed,1,5.0 at full buildout,TBD,5.0 at full buildout
4446,Bolingbroke Technology Campus,Completed,0,1 mgd,TBD,1
4444,Hard Labor Creek Water Treatment Facility,Completed,0,0.18 mgd,TBD,0.18
4443,White Oak Technology Park,Completed,1,6.598 mgd,TBD,6.598
4441,Vulcan,DRI Determination Made,0,No water data,TBD,No water data
