DRI Number,Project info,County,Initial Info Form Submision Date,Current Status,Data Center?
4507,"[['Name of Proposed Project:', 'Center Hill Quarry'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'East of Center Hill Rd NW @ Greensboro Road NW/US Hwy 278/SR 12, Crawfordville, GA 30631\r\nCoordinate'], ['Brief Description of Project:', 'The project consists of the development and construction of an aggregate/crushed rock quarry with\r\naccess to the CSX Railroad (approximately 80% shipped by rail) and US Hwy 278 (the balance\r\ntransported by truck) on ±807 acres in unincorporated Taliaferro County'], ['Name of Proposed Project:', 'Center Hill Quarry'], ['DRI ID Number:', '4507'], ['Developer/Applicant:', 'Taliaferro Mining Company, LLC.'], ['Telephone:', '2055157774'], ['Email(s):', 'info@taliaferromining.com'], ['Estimated Value at Build-Out:', '100 mIllion +'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$694,000 annually'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'None; the development will use recycled water and on-site water wells'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2 MGD, to be supplied by recycled water and on-site water wells'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'None; an onsite septic system will be used'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', 'Less than 3,000 gallons per month; all sanitary sewage is to be handled via onsite septic and drain field'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Taliaferro,7/1/2025,Additional Form Submitted,TBD
4506,"[['Name of Proposed Project:', '1611 Ellsworth'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '1611 Ellsworth Industrial Blvd, Atlanta, GA'], ['Brief Description of Project:', 'The proposed development is proposed include 250 hotel rooms, approximately 425 multifamily residential units and approximately 500,000 SF of industrial (data center) use on an approximately 17.1-acre property.'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Fulton,6/30/2025,Initial Form Submitted,TBD
4505,"[['Name of Proposed Project:', 'Waterford Subdivision'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Parker Avenue North'], ['Brief Description of Project:', '728 lot single family detached subdivision'], ['Name of Proposed Project:', 'Waterford Subdivision'], ['DRI ID Number:', '4505'], ['Developer/Applicant:', 'Waterford Investment Holdings Inc'], ['Telephone:', '912-486-0850'], ['Email(s):', 'joeycoty@hotmail.com'], ['Estimated Value at Build-Out:', '$254,800,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$3,000,000'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Brooklet'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2184'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Brooklet'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.2184'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bulloch,7/1/2025,DRI Determination Made,TBD
4503,"[['Name of Proposed Project:', 'Esplanade'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Paga Mine Road, 34.138, -84.777'], ['Brief Description of Project:', 'The project is a resort-style residential development featuring approximately 1,100 single-family homes. It will offer a full suite of amenities, including on-site dining, trip planning and excursion services, indoor and outdoor recreation, a resort pool, spa facilities, and wellness programs.  Designed to create a vibrant resort living experience.'], ['Name of Proposed Project:', 'Esplanade'], ['DRI ID Number:', '4503'], ['Developer/Applicant:', 'Taylor Morrison'], ['Telephone:', '770-741-0256'], ['Email(s):', 'mmaynard@taylormorrison.com'], ['Estimated Value at Build-Out:', '660M'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '7.5M'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Bartow County Water Department'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.35 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Cartersville'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.35 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Bartow,6/26/2025,Request for Comments Made,TBD
4502,"[['Name of Proposed Project:', '1900 Level Grove Road Townhome Development'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '1900 Level Grove Road'], ['Brief Description of Project:', 'Planned Unit Development- three commercial outparcels,\r\n228 1, 2, and 3 bedroom apartments, and 73 3-bedroom\r\ntownhomes with new lift station, greenspace, park'], ['Additional form has not been filled out yet', 'Additional form has not been filled out yet']]",Habersham,6/24/2025,Initial Form Submitted,TBD
4500,"[['Name of Proposed Project:', 'Exley Tract 7eleven'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'GA Highway 21 & Trade Center Blvd., Rincon GA'], ['Brief Description of Project:', '7-Eleven Gas Station, 4816 SF convenience store, 6 auto fuel dispensers, 5 diesel dispensers.'], ['Name of Proposed Project:', 'Exley Tract 7eleven'], ['DRI ID Number:', '4500'], ['Developer/Applicant:', 'C4 Cstore Holdings V, LLC'], ['Telephone:', '704-414-7472'], ['Email(s):', 'tcaldwell@csere.com'], ['Estimated Value at Build-Out:', '$86,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$82,678.40'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Effingham County'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.00025 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Effingham County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.00025 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Effingham,6/23/2025,DRI Determination Made,TBD
4499,"[['Name of Proposed Project:', 'Thomas Concrete Liberty Plant'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Leroy Coffer Highway, Map and Parcel number is 206091 Portion thereof'], ['Brief Description of Project:', 'Establish Ready Mix Concrete Plant operation for service to local customers.'], ['Name of Proposed Project:', 'Thomas Concrete Liberty Plant'], ['DRI ID Number:', '4499'], ['Developer/Applicant:', 'Thomas Concrete of SC '], ['Telephone:', '912-341-4101'], ['Email(s):', 'Joseph.Bernard@thomasconcrete.com'], ['Estimated Value at Build-Out:', '$ 900,000'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '$ 62,548.53'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'On Site Well'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '.008'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'On Site Well Tanks below Office Trailer'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Liberty,6/23/2025,DRI Determination Made,TBD
4497,"[['Name of Proposed Project:', 'South Greensboro'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', 'Town Center Pkwy (FKA Meadow Crest Rd)  Map & Parcel 071000036C'], ['Brief Description of Project:', 'The proposed development consists of approximately 256 single family detached units, 22 townhome units and 28 duplex units.'], ['Name of Proposed Project:', 'South Greensboro'], ['DRI ID Number:', '4497'], ['Developer/Applicant:', 'Weyerhaeuser NR Company'], ['Telephone:', '352-415-4520'], ['Email(s):', 'Todd.Powell@weyerhaeuser.com'], ['Estimated Value at Build-Out:', '89,000,000.00'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '868,000.00'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Greensboro'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.09792 mgd'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'City of Greensboro'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.09792 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Greene,6/13/2025,Request for Comments Made,TBD
4496,"[['Name of Proposed Project:', 'JP Travel Center Social Circle'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '370 Hwy 11 Social Circle, GA 30025'], ['Brief Description of Project:', 'Commercial Travel Center with C-Store, auto and truck fueling and parking, restaurants with drive thrus, tire center, hotel, and three out parcels to be developed.'], ['Name of Proposed Project:', 'JP Travel Center Social Circle'], ['DRI ID Number:', '4496'], ['Developer/Applicant:', 'William B. Jones, JPC Design and Const. LLC'], ['Telephone:', '770-775-2386'], ['Email(s):', 'jcrosby@jonespetroleum.com'], ['Estimated Value at Build-Out:', '50 million, 30 million Travel Center, 20 million h'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '3 million total, 1.6 million Travel Center'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'Newton County Water and Sewer Authority'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.033 MGD'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Newton County Water and Sewer Authority'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.033 MGD'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Walton,6/12/2025,Request for Comments Made,TBD
4494,"[['Name of Proposed Project:', 'North Oconee Industrial Park'], ['Location (Street Address, GPS Coordinates, or Legal Land Lot Description):', '4020 & 3886 Cornelia Highway and 4761 & 5019 Cagle Mill'], ['Brief Description of Project:', 'Light Industrial Park for Multiple'], ['Name of Proposed Project:', 'North Oconee Industrial Park'], ['DRI ID Number:', '4494'], ['Developer/Applicant:', 'NCP Holdings'], ['Telephone:', '6786541246'], ['Email(s):', 'dw96mccollum@gmail.com'], ['Estimated Value at Build-Out:', '200 Million'], ['Estimated annual local tax revenues (i.e., property tax, sales tax) likely to be generated by the proposed development:', '2.0 to 2.5 Millision'], ['Is the regional work force sufficient to fill the demand created by the proposed project?', 'Yes'], ['Will this development displace any existing uses?', 'Yes'], ['Name of water supply provider for this site:', 'City of Gainesville'], ['What is the estimated water supply demand to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.095'], ['Is sufficient water supply capacity available to serve the proposed project?', 'Yes'], ['Is a water line extension required to serve this project?', 'Yes'], ['Name of wastewater treatment provider for this site:', 'Hall County'], ['What is the estimated sewage flow to be generated by the project, measured in Millions of Gallons Per Day (MGD)?', '0.095'], ['Is sufficient wastewater treatment capacity available to serve this proposed project?', 'Yes'], ['Is a sewer line extension required to serve this project?', 'Yes']]",Hall,6/9/2025,Request for Comments Made,TBD
